query_type,query_value,query_title,query_abstract,rank,doc_id,score,title,abstract,categories
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",11,1909.04120,184.10086,Span Selection Pre-training for Question Answering,"  BERT (Bidirectional Encoder Representations from Transformers) and related
pre-trained Transformers have provided large gains across many language
understanding tasks, achieving a new state-of-the-art (SOTA). BERT is
pre-trained on two auxiliary tasks: Masked Language Model and Next Sentence
Prediction. In this paper we introduce a new pre-training task inspired by
reading comprehension to better align the pre-training from memorization to
understanding. Span Selection Pre-Training (SSPT) poses cloze-like training
instances, but rather than draw the answer from the model's parameters, it is
selected from a relevant passage. We find significant and consistent
improvements over both BERT-BASE and BERT-LARGE on multiple reading
comprehension (MRC) datasets. Specifically, our proposed model has strong
empirical evidence as it obtains SOTA results on Natural Questions, a new
benchmark MRC dataset, outperforming BERT-LARGE by 3 F1 points on short answer
prediction. We also show significant impact in HotpotQA, improving answer
prediction F1 by 4 points and supporting fact prediction F1 by 1 point and
outperforming the previous best system. Moreover, we show that our pre-training
approach is particularly effective when training data is limited, improving the
learning curve by a large amount.
",cs.CL cs.AI cs.LG
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",12,1905.05583,181.97427,How to Fine-Tune BERT for Text Classification?,"  Language model pre-training has proven to be useful in learning universal
language representations. As a state-of-the-art language model pre-training
model, BERT (Bidirectional Encoder Representations from Transformers) has
achieved amazing results in many language understanding tasks. In this paper,
we conduct exhaustive experiments to investigate different fine-tuning methods
of BERT on text classification task and provide a general solution for BERT
fine-tuning. Finally, the proposed solution obtains new state-of-the-art
results on eight widely-studied text classification datasets.
",cs.CL
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",13,2202.06335,181.39476,"ET-BERT: A Contextualized Datagram Representation with Pre-training
  Transformers for Encrypted Traffic Classification","  Encrypted traffic classification requires discriminative and robust traffic
representation captured from content-invisible and imbalanced traffic data for
accurate classification, which is challenging but indispensable to achieve
network security and network management. The major limitation of existing
solutions is that they highly rely on the deep features, which are overly
dependent on data size and hard to generalize on unseen data. How to leverage
the open-domain unlabeled traffic data to learn representation with strong
generalization ability remains a key challenge. In this paper,we propose a new
traffic representation model called Encrypted Traffic Bidirectional Encoder
Representations from Transformer (ET-BERT), which pre-trains deep
contextualized datagram-level representation from large-scale unlabeled data.
The pre-trained model can be fine-tuned on a small number of task-specific
labeled data and achieves state-of-the-art performance across five encrypted
traffic classification tasks, remarkably pushing the F1 of ISCX-Tor to 99.2%
(4.4% absolute improvement), ISCX-VPN-Service to 98.9% (5.2% absolute
improvement), Cross-Platform (Android) to 92.5% (5.4% absolute improvement),
CSTNET-TLS 1.3 to 97.4% (10.0% absolute improvement). Notably, we provide
explanation of the empirically powerful pre-training model by analyzing the
randomness of ciphers. It gives us insights in understanding the boundary of
classification ability over encrypted traffic. The code is available at:
https://github.com/linwhitehat/ET-BERT.
",cs.CR cs.AI cs.NI
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",14,1909.12486,180.49284,Reweighted Proximal Pruning for Large-Scale Language Representation,"  Recently, pre-trained language representation flourishes as the mainstay of
the natural language understanding community, e.g., BERT. These pre-trained
language representations can create state-of-the-art results on a wide range of
downstream tasks. Along with continuous significant performance improvement,
the size and complexity of these pre-trained neural models continue to increase
rapidly. Is it possible to compress these large-scale language representation
models? How will the pruned language representation affect the downstream
multi-task transfer learning objectives? In this paper, we propose Reweighted
Proximal Pruning (RPP), a new pruning method specifically designed for a
large-scale language representation model. Through experiments on SQuAD and the
GLUE benchmark suite, we show that proximal pruned BERT keeps high accuracy for
both the pre-training task and the downstream multiple fine-tuning tasks at
high prune ratio. RPP provides a new perspective to help us analyze what
large-scale language representation might learn. Additionally, RPP makes it
possible to deploy a large state-of-the-art language representation model such
as BERT on a series of distinct devices (e.g., online servers, mobile phones,
and edge devices).
",cs.LG cs.CL cs.NE stat.ML
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",15,1908.04577,176.98798,"StructBERT: Incorporating Language Structures into Pre-training for Deep
  Language Understanding","  Recently, the pre-trained language model, BERT (and its robustly optimized
version RoBERTa), has attracted a lot of attention in natural language
understanding (NLU), and achieved state-of-the-art accuracy in various NLU
tasks, such as sentiment classification, natural language inference, semantic
textual similarity and question answering. Inspired by the linearization
exploration work of Elman [8], we extend BERT to a new model, StructBERT, by
incorporating language structures into pre-training. Specifically, we pre-train
StructBERT with two auxiliary tasks to make the most of the sequential order of
words and sentences, which leverage language structures at the word and
sentence levels, respectively. As a result, the new model is adapted to
different levels of language understanding required by downstream tasks. The
StructBERT with structural pre-training gives surprisingly good empirical
results on a variety of downstream tasks, including pushing the
state-of-the-art on the GLUE benchmark to 89.0 (outperforming all published
models), the F1 score on SQuAD v1.1 question answering to 93.0, the accuracy on
SNLI to 91.7.
",cs.CL
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",16,2106.11483,176.37512,A Comprehensive Comparison of Pre-training Language Models,"  Recently, the development of pre-trained language models has brought natural
language processing (NLP) tasks to the new state-of-the-art. In this paper we
explore the efficiency of various pre-trained language models. We pre-train a
list of transformer-based models with the same amount of text and the same
training steps. The experimental results shows that the most improvement upon
the origin BERT is adding the RNN-layer to capture more contextual information
for short text understanding. But the conclusion is: There are no remarkable
improvement for short text understanding for similar BERT structures.
Data-centric method[12] can achieve better performance.
",cs.CL
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",17,1908.06725,176.04916,"Align, Mask and Select: A Simple Method for Incorporating Commonsense
  Knowledge into Language Representation Models","  The state-of-the-art pre-trained language representation models, such as
Bidirectional Encoder Representations from Transformers (BERT), rarely
incorporate commonsense knowledge or other knowledge explicitly. We propose a
pre-training approach for incorporating commonsense knowledge into language
representation models. We construct a commonsense-related multi-choice question
answering dataset for pre-training a neural language representation model. The
dataset is created automatically by our proposed ""align, mask, and select""
(AMS) method. We also investigate different pre-training tasks. Experimental
results demonstrate that pre-training models using the proposed approach
followed by fine-tuning achieve significant improvements over previous
state-of-the-art models on two commonsense-related benchmarks, including
CommonsenseQA and Winograd Schema Challenge. We also observe that fine-tuned
models after the proposed pre-training approach maintain comparable performance
on other NLP tasks, such as sentence classification and natural language
inference tasks, compared to the original BERT models. These results verify
that the proposed approach, while significantly improving commonsense-related
NLP tasks, does not degrade the general language representation capabilities.
",cs.CL
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",18,2103.16110,175.5994,Kaleido-BERT: Vision-Language Pre-training on Fashion Domain,"  We present a new vision-language (VL) pre-training model dubbed Kaleido-BERT,
which introduces a novel kaleido strategy for fashion cross-modality
representations from transformers. In contrast to random masking strategy of
recent VL models, we design alignment guided masking to jointly focus more on
image-text semantic relations. To this end, we carry out five novel tasks,
i.e., rotation, jigsaw, camouflage, grey-to-color, and blank-to-color for
self-supervised VL pre-training at patches of different scale. Kaleido-BERT is
conceptually simple and easy to extend to the existing BERT framework, it
attains new state-of-the-art results by large margins on four downstream tasks,
including text retrieval (R@1: 4.03% absolute improvement), image retrieval
(R@1: 7.13% abs imv.), category recognition (ACC: 3.28% abs imv.), and fashion
captioning (Bleu4: 1.2 abs imv.). We validate the efficiency of Kaleido-BERT on
a wide range of e-commerical websites, demonstrating its broader potential in
real-world applications.
",cs.CV
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",19,1908.03548,174.12463,BERT-based Ranking for Biomedical Entity Normalization,"  Developing high-performance entity normalization algorithms that can
alleviate the term variation problem is of great interest to the biomedical
community. Although deep learning-based methods have been successfully applied
to biomedical entity normalization, they often depend on traditional
context-independent word embeddings. Bidirectional Encoder Representations from
Transformers (BERT), BERT for Biomedical Text Mining (BioBERT) and BERT for
Clinical Text Mining (ClinicalBERT) were recently introduced to pre-train
contextualized word representation models using bidirectional Transformers,
advancing the state-of-the-art for many natural language processing tasks. In
this study, we proposed an entity normalization architecture by fine-tuning the
pre-trained BERT / BioBERT / ClinicalBERT models and conducted extensive
experiments to evaluate the effectiveness of the pre-trained models for
biomedical entity normalization using three different types of datasets. Our
experimental results show that the best fine-tuned models consistently
outperformed previous methods and advanced the state-of-the-art for biomedical
entity normalization, with up to 1.17% increase in accuracy.
",cs.IR cs.CL cs.LG
id,1810.04805,"BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding","  We introduce a new language representation model called BERT, which stands
for Bidirectional Encoder Representations from Transformers. Unlike recent
language representation models, BERT is designed to pre-train deep
bidirectional representations from unlabeled text by jointly conditioning on
both left and right context in all layers. As a result, the pre-trained BERT
model can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of tasks, such as question answering
and language inference, without substantial task-specific architecture
modifications.
  BERT is conceptually simple and empirically powerful. It obtains new
state-of-the-art results on eleven natural language processing tasks, including
pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI
accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering
Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1
(5.1 point absolute improvement).
",20,1911.05604,173.36009,"Adapting and evaluating a deep learning language model for clinical
  why-question answering","  Objectives: To adapt and evaluate a deep learning language model for
answering why-questions based on patient-specific clinical text. Materials and
Methods: Bidirectional encoder representations from transformers (BERT) models
were trained with varying data sources to perform SQuAD 2.0 style why-question
answering (why-QA) on clinical notes. The evaluation focused on: 1) comparing
the merits from different training data, 2) error analysis. Results: The best
model achieved an accuracy of 0.707 (or 0.760 by partial match). Training
toward customization for the clinical language helped increase 6% in accuracy.
Discussion: The error analysis suggested that the model did not really perform
deep reasoning and that clinical why-QA might warrant more sophisticated
solutions. Conclusion: The BERT model achieved moderate accuracy in clinical
why-QA and should benefit from the rapidly evolving technology. Despite the
identified limitations, it could serve as a competent proxy for question-driven
clinical information extraction.
",cs.CL
