query_type,query_value,rank,doc_id,score,title,abstract,categories
text,quantum field theory gauge symmetry,11,hep-th/9307164,21.85036,Quantum Symmetry,"  The representations of the observable algebra of a low dimensional quantum
field theory form the objects of a braided tensor category. The search for
gauge symmetry in the theory amounts to finding an algebra which has the same
representation category. In this paper we try to establish that every quantum
field theory satisfying some basic axioms posseses a weak quasi Hopf algebra as
gauge symmetry. The first step is to construct a functor from the
representation category to the category of finite dimensional vector spaces.
Given such a functor we can use a generalized reconstruction theorem to find
the symmetry algebra. It is shown how this symmetry algebra is used to build a
gauge covariant field algebra and we investigate the question why this
generality is necessary.
",hep-th
text,quantum field theory gauge symmetry,12,1904.11550,21.814533,Symmetry-Enriched Quantum Spin Liquids in $(3+1)d$,"  We use the intrinsic one-form and two-form global symmetries of (3+1)$d$
bosonic field theories to classify quantum phases enriched by ordinary
($0$-form) global symmetry. Different symmetry-enriched phases correspond to
different ways of coupling the theory to the background gauge field of the
ordinary symmetry. The input of the classification is the higher-form
symmetries and a permutation action of the $0$-form symmetry on the lines and
surfaces of the theory. From these data we classify the couplings to the
background gauge field by the 0-form symmetry defects constructed from the
higher-form symmetry defects. For trivial two-form symmetry the classification
coincides with the classification for symmetry fractionalizations in $(2+1)d$.
We also provide a systematic method to obtain the symmetry protected
topological phases that can be absorbed by the coupling, and we give the
relative 't Hooft anomaly for different couplings. We discuss several examples
including the gapless pure $U(1)$ gauge theory and the gapped Abelian finite
group gauge theory. As an application, we discover a tension with a conjectured
duality in $(3+1)d$ for $SU(2)$ gauge theory with two adjoint Weyl fermions.
",cond-mat.str-el hep-th
text,quantum field theory gauge symmetry,13,hep-th/0703189,21.783089,Quantum Effects in Softly Broken Gauge Theories in Curved Space-Times,"  The soft breaking of gauge or other symmetries is the typical Quantum Field
Theory phenomenon. In many cases one can apply the St$\ddot{\rm u}$ckelberg
procedure, which means introducing some additional field or fields and restore
the gauge symmetry. The original softly broken theory corresponds to a
particular choice of the gauge fixing condition. In this paper we use this
scheme for performing quantum calculations for some softly broken gauge
theories in an arbitrary curved space-time. The following examples are treated
in details: Proca field, massive QED and massive torsion coupled to fermion.
Furthermore we present a qualitative discussions of the discontinuity of
quantum effects in the massive spin-2 field theory, paying special attention to
the similarity and differences with the massless limit in the spin-1 case.
",hep-th
text,quantum field theory gauge symmetry,14,hep-th/0109145,21.759115,Gauge Theory of Gravity,"  The quantum gravity is formulated based on principle of local gauge
invariance. The model discussed in this paper has local gravitational gauge
symmetry and gravitational field appears as gauge field. The problems on
quantization and renormalization of the theory are also discussed in this
paper. In leading order approximation, the gravitational gauge field theory
gives out classical Newton's theory of gravity. In first order approximation
and for vacuum, the gravitational gauge field theory gives out Einstein's
general theory of relativity. This quantum gauge theory of gravity is a
renormalizable quantum theory.
",hep-th astro-ph gr-qc quant-ph
text,quantum field theory gauge symmetry,15,hep-th/0206234,21.75781,"On quantum deformation of conformal symmetry: Gauge dependence via field
  redefinitions","  The effective action in gauge theories is known to depend on a choice of
gauge fixing conditions. This dependence is such that any change of gauge
conditions is equivalent to a field redefinition in the effective action. In
this sense, the quantum deformation of conformal symmetry in the N = 4 super
Yang-Mills theory, which was computed in 't Hooft gauge in hep-th/9808039 and
hep-th/0203236, is gauge dependent. The deformation is an intrinsic property of
the theory in that it cannot be eliminated by a local choice of gauge (although
we sketch a field redefinition induced by a nonlocal gauge which, on the
Coulomb branch of the theory, converts the one-loop quantum-corrected conformal
transformations to the classical ones). We explicitly compute the deformed
conformal symmetry in R_\xi gauge. The conformal transformation law of the
gauge field turns out to be \xi-independent. We construct the scalar field
redefinition which relates the 't Hooft and R_\xi gauge results. A unique
feature of 't Hooft gauge is that it makes it possible to consistently truncate
the one-loop conformal deformation to the terms of first order in derivatives
of the fields such that the corresponding transformations form a field
realization of the conformal algebra.
",hep-th
text,quantum field theory gauge symmetry,16,2503.04546,21.738684,Symmetry Topological Field Theory for Flavor Symmetry,"  In this Letter, we demonstrate that the Symmetry Topological Field Theory
(SymTFT) associated to a Quantum Field Theory (QFT) with continuous non-abelian
$G$-flavor symmetry is a $BF$-theory with gauge group $G$. We show that gauging
$G$-symmetry with a flat connection yields a theory with global symmetry
characterized by exchanging the conjugate variables in the quantization of
$BF$-theory. We construct the extended operators that generate the $G$-flavor
symmetry and the $(d-2)$-form $\text{Rep}(G)$-symmetry of the gauged QFT. We
demonstrate that $BF$-theory arises as the theory characterizing $G$-flavor
symmetry of a QFT in the AdS/CFT setup. 't Hooft anomalies of the $G$-flavor
symmetry are realized as extra terms in the action.
",hep-th
text,quantum field theory gauge symmetry,17,hep-th/0112062,21.688168,Quantum Gauge Theory of Gravity,"  The quantum gravity is formulated based on principle of local gauge
invariance. The model discussed in this paper has local gravitational gauge
symmetry and gravitational field is represented by gauge field. In leading
order approximation, it gives out classical Newton's theory of gravity. It can
also give out Einstein's field equation with cosmological constant. For
classical tests, it gives out the same theoretical predictions as those of
general relativity. This quantum gauge theory of gravity is a renormalizable
quantum theory.
",hep-th astro-ph gr-qc quant-ph
text,quantum field theory gauge symmetry,18,1011.5120,21.662767,Symmetries and Strings in Field Theory and Gravity,"  We discuss aspects of global and gauged symmetries in quantum field theory
and quantum gravity, focusing on discrete gauge symmetries. An effective
Lagrangian description of $\Z_p$ gauge theories shows that they are associated
with an emergent $\Z_p$ one-form (Kalb-Ramond) gauge symmetry. This
understanding leads us to uncover new observables and new phenomena in
nonlinear $\sigma$-models. It also allows us to expand on Polchinski's
classification of cosmic strings. We argue that in models of quantum gravity,
there are no global symmetries, all continuous gauge symmetries are compact,
and all charges allowed by Dirac quantization are present in the spectrum.
These conjectures are not new, but we present them from a streamlined and
unified perspective. Finally, our discussion about string charges and
symmetries leads to a more physical and more complete understanding of recently
found consistency conditions of supergravity.
",hep-th
text,quantum field theory gauge symmetry,19,2211.04461,21.651537,Lower-Form Symmetries,"  When gauging a $(d-1)$-form symmetry in $d$ spacetime dimensions, one
formally expects the gauged theory to carry a dual $-1$-form symmetry. This
work focuses on the study of such symmetries, in particular via the
spacetime-filling topological operators that implement them, in two-dimensional
field theory (with an eye towards general quantum field theory). As theories
with $(d-1)$-form symmetries are known to be equivalent to direct sums of local
theories, we review how gauging a $(d-1)$-form symmetry projects onto a single
component in this sum, and explain how gauging the resulting $-1$-form symmetry
restores the direct sum.
",hep-th
text,quantum field theory gauge symmetry,20,2103.01000,21.600487,Duality Symmetry of Quantum Electrodynamics and Magnetic Charges,"  The duality symmetry between electricity and magnetism hidden in classical
Maxwell equations suggests the existence of dual charges, which have usually
been interpreted as magnetic charges and have not been observed in experiments.
In quantum electrodynamics (QED), both the electric and magnetic fields have
been unified into one gauge field, which makes this symmetry inconspicuous.
Here, we recheck the duality symmetry of QED by introducing a dual gauge field
and a dual symmetric Lagrangian. Within the framework of gauge-field theory, we
show that the electric-magnetic duality symmetry cannot give any new
conservation law. By checking the charge-charge interaction and the quantum
Lorentz-force equation, we find that the introduced dual charges are electric
charges, not magnetic charges. More importantly, we show that true magnetic
charges are not compatible with the gauge-field theory of QED, because the
interaction between a magnetic charge and an electric charge cannot be mediated
via the exchange of gauge photons.
",quant-ph hep-th physics.optics
