query_type,query_value,rank,id,categories,similarity,title,abstract
text,convex optimization gradient descent convergence,11,2011.12341,math.OC cs.LG,0.5227256417274475,"Sequential convergence of AdaGrad algorithm for smooth convex
  optimization","  We prove that the iterates produced by, either the scalar step size variant,
or the coordinatewise variant of AdaGrad algorithm, are convergent sequences
when applied to convex objective functions with Lipschitz gradient. The key
insight is to remark that such AdaGrad sequences satisfy a variable metric
quasi-Fej\'er monotonicity property, which allows to prove convergence.
"
text,convex optimization gradient descent convergence,12,2001.03443,math.OC,0.5210911631584167,"Accelerated and nonaccelerated stochastic gradient descent with model
  conception","  In this paper, we describe a new way to get convergence rates for optimal
methods in smooth (strongly) convex optimization tasks. Our approach is based
on results for tasks where gradients have nonrandom small noises. Unlike
previous results, we obtain convergence rates with model conception.
"
text,convex optimization gradient descent convergence,13,1309.0113,math.OC cs.LG,0.5130760073661804,"Non-Asymptotic Convergence Analysis of Inexact Gradient Methods for
  Machine Learning Without Strong Convexity","  Many recent applications in machine learning and data fitting call for the
algorithmic solution of structured smooth convex optimization problems.
Although the gradient descent method is a natural choice for this task, it
requires exact gradient computations and hence can be inefficient when the
problem size is large or the gradient is difficult to evaluate. Therefore,
there has been much interest in inexact gradient methods (IGMs), in which an
efficiently computable approximate gradient is used to perform the update in
each iteration. Currently, non-asymptotic linear convergence results for IGMs
are typically established under the assumption that the objective function is
strongly convex, which is not satisfied in many applications of interest; while
linear convergence results that do not require the strong convexity assumption
are usually asymptotic in nature. In this paper, we combine the best of these
two types of results and establish---under the standard assumption that the
gradient approximation errors decrease linearly to zero---the non-asymptotic
linear convergence of IGMs when applied to a class of structured convex
optimization problems. Such a class covers settings where the objective
function is not necessarily strongly convex and includes the least squares and
logistic regression problems. We believe that our techniques will find further
applications in the non-asymptotic convergence analysis of other first-order
methods.
"
text,convex optimization gradient descent convergence,14,1608.04636,cs.LG math.OC stat.CO stat.ML,0.5123746395111084,"Linear Convergence of Gradient and Proximal-Gradient Methods Under the
  Polyak-\L{}ojasiewicz Condition","  In 1963, Polyak proposed a simple condition that is sufficient to show a
global linear convergence rate for gradient descent. This condition is a
special case of the \L{}ojasiewicz inequality proposed in the same year, and it
does not require strong convexity (or even convexity). In this work, we show
that this much-older Polyak-\L{}ojasiewicz (PL) inequality is actually weaker
than the main conditions that have been explored to show linear convergence
rates without strong convexity over the last 25 years. We also use the PL
inequality to give new analyses of randomized and greedy coordinate descent
methods, sign-based gradient descent methods, and stochastic gradient methods
in the classic setting (with decreasing or constant step-sizes) as well as the
variance-reduced setting. We further propose a generalization that applies to
proximal-gradient methods for non-smooth optimization, leading to simple proofs
of linear convergence of these methods. Along the way, we give simple
convergence results for a wide variety of problems in machine learning: least
squares, logistic regression, boosting, resilient backpropagation,
L1-regularization, support vector machines, stochastic dual coordinate ascent,
and stochastic variance-reduced gradient methods.
"
text,convex optimization gradient descent convergence,15,2110.15470,math.OC,0.5049464106559753,"New insights in smoothness and strong convexity with improved
  convergence of gradient descent","  The starting assumptions to study the convergence and complexity of
gradient-type methods may be the smoothness (also called Lipschitz continuity
of gradient) and the strong convexity. In this note, we revisit these two basic
properties from a new perspective that motivates their definitions and
equivalent characterizations, along with an improved linear convergence of the
gradient descent method.
"
text,convex optimization gradient descent convergence,16,2408.14308,math.OC,0.4908180832862854,Directional descent,We identity the optimal non-infinitesimal direction of descent for a convex function. An algorithm is developed that can theoretically minimize a subset of (non-convex) functions.
text,convex optimization gradient descent convergence,17,2305.19605,stat.ML,0.47451186180114746,Parameter-free projected gradient descent,"  We consider the problem of minimizing a convex function over a closed convex
set, with Projected Gradient Descent (PGD). We propose a fully parameter-free
version of AdaGrad, which is adaptive to the distance between the
initialization and the optimum, and to the sum of the square norm of the
subgradients. Our algorithm is able to handle projection steps, does not
involve restarts, reweighing along the trajectory or additional gradient
evaluations compared to the classical PGD. It also fulfills optimal rates of
convergence for cumulative regret up to logarithmic factors. We provide an
extension of our approach to stochastic optimization and conduct numerical
experiments supporting the developed theory.
"
text,convex optimization gradient descent convergence,18,2412.17050,math.OC,0.46358224749565125,"Linear Convergence Rate in Convex Setup is Possible! Gradient Descent
  Method Variants under $(L_0,L_1)$-Smoothness","  The gradient descent (GD) method -- is a fundamental and likely the most
popular optimization algorithm in machine learning (ML), with a history traced
back to a paper in 1847 (Cauchy, 1847). It was studied under various
assumptions, including so-called $(L_0,L_1)$-smoothness, which received
noticeable attention in the ML community recently. In this paper, we provide a
refined convergence analysis of gradient descent and its variants, assuming
generalized smoothness. In particular, we show that $(L_0,L_1)$-GD has the
following behavior in the convex setup: as long as $\|\nabla f(x^k)\| \geq
\frac{L_0}{L_1}$ the algorithm has linear convergence in function
suboptimality, and when $\|\nabla f(x^k)\| < \frac{L_0}{L_1}$ is satisfied,
$(L_0,L_1)$-GD has standard sublinear rate. Moreover, we also show that this
behavior is common for its variants with different types of oracle: Normalized
Gradient Descent as well as Clipped Gradient Descent (the case when the full
gradient $\nabla f(x)$ is available); Random Coordinate Descent (when the
gradient component $\nabla_{i} f(x)$ is available); Random Coordinate Descent
with Order Oracle (when only $\text{sign} [f(y) - f(x)]$ is available). In
addition, we also extend our analysis of $(L_0,L_1)$-GD to the strongly convex
case.
"
text,convex optimization gradient descent convergence,19,1904.01517,math.NA cs.LG cs.NA math.PR stat.ML,0.45702534914016724,"Convergence rates for the stochastic gradient descent method for
  non-convex objective functions","  We prove the local convergence to minima and estimates on the rate of
convergence for the stochastic gradient descent method in the case of not
necessarily globally convex nor contracting objective functions. In particular,
the results are applicable to simple objective functions arising in machine
learning.
"
text,convex optimization gradient descent convergence,20,2209.01272,math.OC,0.4142884314060211,"Convergence rate analysis of the gradient descent-ascent method for
  convex-concave saddle-point problems","  In this paper, we study the gradient descent-ascent method for convex-concave
saddle-point problems. We derive a new non-asymptotic global convergence rate
in terms of distance to the solution set by using the semidefinite programming
performance estimation method. The given convergence rate incorporates most
parameters of the problem and it is exact for a large class of strongly
convex-strongly concave saddle-point problems for one iteration. We also
investigate the algorithm without strong convexity and we provide some
necessary and sufficient conditions under which the gradient descent-ascent
enjoys linear convergence.
"
