id,title,categories,num_categories
math/0010256,"Averaging Principle for Quasi-Geostrophic Motions under Rapidly
  Oscillating Forcing",math.AP math-ph math.DS math.MP nlin.CD nlin.PS physics.ao-ph physics.flu-dyn physics.geo-ph,9
cond-mat/9604113,Electronic Structures in C60-Polymers (review),cond-mat.mtrl-sci chem-ph cond-mat.soft cond-mat.str-el mtrl-th physics.atm-clus physics.chem-ph physics.optics quant-ph,9
math/0101001,The 3D Quasigeostrophic Fluid Dynamics under Random Forcing on Boundary,math.AP math-ph math.DS math.MP math.PR physics.ao-ph physics.data-an physics.flu-dyn physics.geo-ph,9
hep-ph/0505177,"Adventures in Theoretical Physics: Selected Papers of Stephen L. Adler
  -- Commentaries",hep-ph cond-mat.other gr-qc hep-lat hep-th math-ph math.MP physics.hist-ph quant-ph,9
math/0104142,Ergodicity of Stochastically Forced Large Scale Geophysical Flows,math.AP cond-mat.stat-mech math-ph math.DS math.MP math.PR nlin.CD physics.ao-ph physics.data-an,9
cond-mat/9707301,Random Matrix Theories in Quantum Physics: Common Concepts,cond-mat chao-dyn hep-th nlin.CD nlin.SI nucl-th physics.atom-ph physics.chem-ph solv-int,9
math/0108086,"Enstrophy Dynamics of Stochastically Forced Large-Scale Geophysical
  Flows",math.AP cond-mat.stat-mech math-ph math.DS math.MP math.PR nlin.CD physics.ao-ph physics.flu-dyn,9
adap-org/9902002,A General Approach to the Modelling of Trophic Chains,adap-org chao-dyn cond-mat.stat-mech math.DS nlin.AO nlin.CD physics.bio-ph physics.chem-ph q-bio.PE,9
math/9902066,"Berezin-Toeplitz quantization and Berezin symbols for arbitrary compact
  Kaehler manifolds",math.QA hep-th math-ph math.AG math.CV math.DG math.MP math.SG quant-ph,9
cond-mat/9812161,Self-Organized States in Cellular Automata: Exact Solution,cond-mat.stat-mech adap-org astro-ph comp-gas nlin.AO nlin.CG physics.class-ph physics.flu-dyn physics.plasm-ph,9
physics/0601161,"Monte Carlo Algorithm for Least Dependent Non-Negative Mixture
  Decomposition",physics.chem-ph cond-mat.stat-mech cs.IT math.IT math.PR math.ST physics.comp-ph physics.data-an stat.TH,9
cond-mat/9902011,Cortical Potential Distributions and Cognitive Information Processing,cond-mat.dis-nn adap-org cond-mat.stat-mech cs.NE math-ph math.MP nlin.AO physics.bio-ph q-bio,9
1108.2700,It was twenty years ago today ...,cs.DL astro-ph.IM cond-mat.other gr-qc hep-ph hep-th math.HO physics.soc-ph quant-ph,9
cs/0505058,"The Cyborg Astrobiologist: Scouting Red Beds for Uncommon Features with
  Geological Significance",cs.CV astro-ph cs.AI cs.CE cs.HC cs.RO cs.SE physics.ins-det q-bio.NC,9
q-alg/9609022,"Noninvertibility and ``Semi-'' Analogs of (Super) Manifolds, Fiber
  Bundles and Homotopies",q-alg alg-geom dg-ga funct-an hep-th math.AG math.DG math.FA math.QA,9
0705.2139,Fuzzy Fluid Mechanics in Three Dimensions,math-ph cond-mat.stat-mech gr-qc hep-th math.AP math.MP math.QA nlin.CD physics.flu-dyn,9
2401.03206,"A Robbins--Monro Sequence That Can Exploit Prior Information For Faster
  Convergence",cs.LG cs.NA math.NA math.OC math.PR math.ST stat.ME stat.ML stat.TH,9
0803.4356,"Stochastic Dynamical Structure (SDS) of Nonequilibrium Processes in the
  Absence of Detailed Balance. II: construction of SDS with nonlinear force and
  multiplicative noise",cond-mat.other astro-ph math-ph math.DS math.MP nlin.AO physics.bio-ph q-bio.PE q-bio.SC,9
1112.2770,"The Impact of Recent Advances in Laboratory Astrophysics on our
  Understanding of the Cosmos",astro-ph.IM hep-ex hep-ph nucl-ex nucl-th physics.atom-ph physics.chem-ph physics.plasm-ph physics.space-ph,9
2402.14026,Probability Tools for Sequential Random Projection,math.ST cs.DS cs.IT cs.NA math.IT math.NA math.PR stat.ML stat.TH,9
0902.3014,Fano resonances in nanoscale structures,cond-mat.mtrl-sci cond-mat.mes-hall cond-mat.str-el cond-mat.supr-con math-ph math.MP nlin.SI physics.atom-ph physics.optics,9
1909.05007,Optimality of the Subgradient Algorithm in the Stochastic Setting,math.ST cs.DS cs.LG cs.SY eess.SY math.OC math.PR stat.ML stat.TH,9
0911.4212,"Realization of Frobenius manifolds as submanifolds in pseudo-Euclidean
  spaces",math.DG hep-th math-ph math.AG math.MP math.QA math.RA math.SG nlin.SI,9
2107.06936,Performance of Bayesian linear regression in a model with mismatch,math.PR cond-mat.dis-nn cs.IT cs.LG math-ph math.IT math.MP math.ST stat.TH,9
0912.5492,"On compatible metrics and diagonalizability of non-locally
  bi-Hamiltonian systems of hydrodynamic type",math.DG hep-th math-ph math.AP math.DS math.MP math.SG nlin.SI physics.flu-dyn,9
